GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
BASN_small_hydroelectric_1,2040,Small Hydroelectric,BASN,Water,359.7,0,.,0,1.69232e+07
BASN_small_hydroelectric_1,2050,Small Hydroelectric,BASN,Water,308.8,0,.,0,1.45284e+07
BASN_solar_photovoltaic_1,2030,Solar Photovoltaic,BASN,Solar,8009.1,0,.,0,1.8119e+08
BASN_solar_photovoltaic_1,2040,Solar Photovoltaic,BASN,Solar,7984.1,0,.,0,1.80624e+08
BASN_solar_photovoltaic_1,2050,Solar Photovoltaic,BASN,Solar,4726.6,0,.,0,1.0693e+08
CANO_batteries_1,2030,Batteries,CANO,Electricity,2678.6,0,10702.7,0,1.67011e+07
CANO_batteries_1,2040,Batteries,CANO,Electricity,0,0,0,0,0
CANO_batteries_1,2050,Batteries,CANO,Electricity,0,0,0,0,0
CANO_biomass_1,2030,Biomass,CANO,Waste_biomass,651.6,0,.,0,9.82939e+07
CANO_biomass_1,2040,Biomass,CANO,Waste_biomass,200.7,0,.,0,3.02756e+07
CANO_biomass_1,2050,Biomass,CANO,Waste_biomass,173.6,0,.,0,2.61876e+07
CANO_biomass_2,2030,Biomass,CANO,Waste_biomass,664.4,0,.,0,1.00225e+08
CANO_biomass_2,2040,Biomass,CANO,Waste_biomass,213.5,0,.,0,3.22065e+07
CANO_biomass_2,2050,Biomass,CANO,Waste_biomass,186.4,0,.,0,2.81184e+07
CANO_conventional_hydroelectric_1,2030,Conventional Hydroelectric,CANO,Water,6973.5,0,.,0,3.28089e+08
CANO_conventional_hydroelectric_1,2040,Conventional Hydroelectric,CANO,Water,6904.5,0,.,0,3.24843e+08
CANO_conventional_hydroelectric_1,2050,Conventional Hydroelectric,CANO,Water,5819.5,0,.,0,2.73796e+08
CANO_hydroelectric_pumped_storage_1,2030,Hydroelectric Pumped Storage,CANO,Electricity,2276.9,0,35291.9,0,1.07124e+08
CANO_hydroelectric_pumped_storage_1,2040,Hydroelectric Pumped Storage,CANO,Electricity,2276.9,0,35291.9,0,1.07124e+08
CANO_hydroelectric_pumped_storage_1,2050,Hydroelectric Pumped Storage,CANO,Electricity,2276.9,0,35291.9,0,1.07124e+08
CANO_natural_gas_fired_combined_cycle_1,2030,Natural Gas Fired Combined Cycle,CANO,Naturalgas,3112.8,0,.,0,5.13363e+07
CANO_natural_gas_fired_combined_cycle_1,2040,Natural Gas Fired Combined Cycle,CANO,Naturalgas,3112.8,0,.,0,5.13363e+07
CANO_natural_gas_fired_combined_cycle_1,2050,Natural Gas Fired Combined Cycle,CANO,Naturalgas,2707.8,0,.,0,4.4657e+07
CANO_natural_gas_fired_combined_cycle_2,2030,Natural Gas Fired Combined Cycle,CANO,Naturalgas,8296.9,0,.,0,8.65106e+07
CANO_natural_gas_fired_combined_cycle_2,2040,Natural Gas Fired Combined Cycle,CANO,Naturalgas,8296.9,0,.,0,8.65106e+07
CANO_natural_gas_fired_combined_cycle_2,2050,Natural Gas Fired Combined Cycle,CANO,Naturalgas,8296.9,0,.,0,8.65106e+07
CANO_natural_gas_fired_combustion_turbine_1,2030,Natural Gas Fired Combustion Turbine,CANO,Naturalgas,2243.9,0,.,0,2.35789e+07
CANO_natural_gas_fired_combustion_turbine_1,2040,Natural Gas Fired Combustion Turbine,CANO,Naturalgas,1994.9,0,.,0,2.09624e+07
CANO_natural_gas_fired_combustion_turbine_1,2050,Natural Gas Fired Combustion Turbine,CANO,Naturalgas,1945.4,0,.,0,2.04422e+07
CANO_natural_gas_fired_combustion_turbine_2,2030,Natural Gas Fired Combustion Turbine,CANO,Naturalgas,2434,0,.,0,3.39421e+07
CANO_natural_gas_fired_combustion_turbine_2,2040,Natural Gas Fired Combustion Turbine,CANO,Naturalgas,1632.1,0,.,0,2.27596e+07
CANO_natural_gas_fired_combustion_turbine_2,2050,Natural Gas Fired Combustion Turbine,CANO,Naturalgas,1004.4,0,.,0,1.40064e+07
CANO_natural_gas_internal_combustion_engine_1,2030,Natural Gas Internal Combustion Engine,CANO,Naturalgas,444.4,0,.,0,9.3324e+06
CANO_natural_gas_internal_combustion_engine_1,2040,Natural Gas Internal Combustion Engine,CANO,Naturalgas,444.4,0,.,0,9.3324e+06
CANO_natural_gas_internal_combustion_engine_1,2050,Natural Gas Internal Combustion Engine,CANO,Naturalgas,441.6,0,.,0,9.2736e+06
CANO_natural_gas_steam_turbine_1,2030,Natural Gas Steam Turbine,CANO,Naturalgas,2.9,0,.,0,148779
CANO_natural_gas_steam_turbine_1,2040,Natural Gas Steam Turbine,CANO,Naturalgas,2.9,0,.,0,148779
CANO_natural_gas_steam_turbine_1,2050,Natural Gas Steam Turbine,CANO,Naturalgas,2.9,0,.,0,148779
CANO_onshore_wind_turbine_1,2030,Onshore Wind Turbine,CANO,Wind,1442,0,.,0,6.2006e+07
CANO_onshore_wind_turbine_1,2040,Onshore Wind Turbine,CANO,Wind,837,0,.,0,3.5991e+07
CANO_onshore_wind_turbine_1,2050,Onshore Wind Turbine,CANO,Wind,61.8,0,.,0,2.6574e+06
CANO_petroleum_liquids_1,2030,Petroleum Liquids,CANO,Distillate,177.3,0,.,0,3.7233e+06
CANO_petroleum_liquids_1,2040,Petroleum Liquids,CANO,Distillate,176.6,0,.,0,3.7086e+06
CANO_petroleum_liquids_1,2050,Petroleum Liquids,CANO,Distillate,161.6,0,.,0,3.3936e+06
CANO_small_hydroelectric_1,2030,Small Hydroelectric,CANO,Water,617.8,0,.,0,2.90663e+07
CANO_small_hydroelectric_1,2040,Small Hydroelectric,CANO,Water,592,0,.,0,2.78524e+07
CANO_small_hydroelectric_1,2050,Small Hydroelectric,CANO,Water,540.5,0,.,0,2.54294e+07
