PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2030,898818222989.9572,146020124861.74643,4.052767020052225,36029735768
2040,909556828634.2391,182733697185.48373,3.0985626495584313,58973697760
2050,686085231082.633,224522497162.64575,3.2347108738277197,69410375740
