generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
BASN_batteries_1,BASN_batteries_1,Batteries,BASN,Electricity,2030,-124.40407983464007,102827.74723855106,0.0,935.8,0.0,5834713.0,8.66138893444392,0.08385392507151354,809.9223947583138,685.5183149236739
BASN_battery_moderate_0,BASN_battery_moderate_0,Battery_*_Moderate,BASN,Electricity,2030,-1.8481051832309174e-05,0.015275986703587475,0.0,6.0096723432029785e-05,0.7951180793362623,0.3763256821313705,11.652796358082647,0.19397894502283464,0.00012032096318955902,0.00010183991135724984
BASN_battery_moderate_0,BASN_battery_moderate_0,Battery_*_Moderate,BASN,Electricity,2040,-1778.720634020724,1470223.7740579976,0.0,5402.283029427012,70311312.03051832,33288868.027329244,10.719837927314124,0.20768360958360402,11580.212461074043,9801.491827053318
BASN_battery_moderate_0,BASN_battery_moderate_0,Battery_*_Moderate,BASN,Electricity,2050,-5315.424997960437,4393530.974876916,0.0,15101.974221101327,320190167.7176626,80584134.44379668,13.83287731848824,0.22201181308698575,34605.63149713988,29290.206499179447
BASN_biomass_1,BASN_biomass_1,Biomass,BASN,Waste_biomass,2030,154.08254405705335,707084.794677818,0.0,29.0,0.0,4374650.0,32.980600273553144,0.6081949604374027,,
BASN_biomass_1,BASN_biomass_1,Biomass,BASN,Waste_biomass,2040,95.56887628673377,438565.5732798213,0.0,22.8,0.0,3439380.0,40.577494723751734,0.4798096818906931,,
BASN_biomass_1,BASN_biomass_1,Biomass,BASN,Waste_biomass,2050,57.37380130060988,263288.37416849873,0.0,15.3,0.0,2308005.0,44.81650711439206,0.42924927353876285,,
BASN_biomass_2,BASN_biomass_2,Biomass,BASN,Waste_biomass,2030,63.11577679842432,479364.32478403277,0.0,15.600000000000001,0.0,2353260.0,44.87981402543317,0.4631276474478162,,
BASN_biomass_2,BASN_biomass_2,Biomass,BASN,Waste_biomass,2040,56.65591765013227,430301.6945527546,0.0,15.600000000000001,0.0,2353260.0,49.13099654906492,0.41572683069564975,,
BASN_biomass_2,BASN_biomass_2,Biomass,BASN,Waste_biomass,2050,34.22857306654676,259966.0124404226,0.0,10.2,0.0,1538670.0,52.54779417603934,0.38412802856050643,,
BASN_conventional_hydroelectric_1,BASN_conventional_hydroelectric_1,Conventional Hydroelectric,BASN,Water,2030,9409.559958919392,0.0,0.0,2566.2999999999993,0.0,120739282.39999998,12.831554602673032,0.41970994959638314,,
BASN_conventional_hydroelectric_1,BASN_conventional_hydroelectric_1,Conventional Hydroelectric,BASN,Water,2040,5951.878720515649,0.0,0.0,1773.8,0.0,83453742.39999999,14.021411779165064,0.3840933580977699,,
