component,npv_cost
TotalGenFixedCosts,1988700778731.584
StorageEnergyFixedCost,73280384517.87729
TxFixedCosts,174296325025.1808
TotalGenAmortizationAdjustment,355.771328074425
EmissionsCost,0.004441448430728504
UnservedLoadPenalty,817804392.2836081
GenVariableOMCostsInTP,-340361245236.0739
NodeSpillageCosts,174.0304262809127
FuelCostsPerTP,597726234746.1937
