GroupExposure_index_1,GroupExposure_index_2,GroupExposure
Asian,2030,0.10743053617005704
Asian,2040,0.07826887072376745
Asian,2050,0.05955088252491375
Black,2030,0.1320018194502108
Black,2040,0.08867899028464965
Black,2050,0.0651797924849308
Latino,2030,0.10834283968610424
Latino,2040,0.07653299913726327
Latino,2050,0.0607122196748123
Native,2030,0.08911131777538601
Native,2040,0.05628176286655435
Native,2050,0.03891648737222241
WhiteNoLat,2030,0.11058056107556247
WhiteNoLat,2040,0.07274289285417605
WhiteNoLat,2050,0.05036042103053407
