GroupExposure_index_1,GroupExposure_index_2,GroupExposure
Asian,2030,0.3492756559612082
Asian,2040,0.4281676191681673
Asian,2050,2.3244745750274864
Black,2030,0.4680437659943801
Black,2040,0.3766854096948757
Black,2050,1.317650537949514
Latino,2030,0.303500941749725
Latino,2040,0.35173786929800915
Latino,2050,1.748809250806174
Native,2030,0.2359799485219282
Native,2040,0.18756604642884744
Native,2050,0.6339280184287416
WhiteNoLat,2030,0.3825198289638994
WhiteNoLat,2040,0.2743817252661175
WhiteNoLat,2050,0.8963928615777209
