PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2030,875825250810.2123,142284734787.58844,3.9490918197063043,36029735768
2040,869761047129.1045,174738561468.96298,2.96299143696366,58973697760
2050,648873984764.1832,212345056857.2059,3.059269663841268,69410375740
