generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
BASN_hydrogen_ccavgcf_moderate_0,BASN_hydrogen_ccavgcf_moderate_0,Hydrogen_CCAvgCF_Moderate,BASN,Hydrogen,2050,1.0388000002603948e-05,0.020776000005207896,0.0,1.9482667152665453e-05,1.0694758896251835,0.5455146802746326,157.4669396895445,0.06103386949450359,,
BASN_hydrogen_ctavgcf_moderate_0,BASN_hydrogen_ctavgcf_moderate_0,Hydrogen_CTAvgCF_Moderate,BASN,Hydrogen,2030,2.5803085924276453e-06,0.012901542962138227,0.0,5.109816885073255e-06,0.2430336663225569,0.10730615458653835,140.77438835696907,0.05780344016187034,,
BASN_hydrogen_ctavgcf_moderate_0,BASN_hydrogen_ctavgcf_moderate_0,Hydrogen_CTAvgCF_Moderate,BASN,Hydrogen,2040,3.346191172540533e-06,0.016730955862702665,0.0,8.1636935875838e-06,0.37978098115339,0.1714375653392598,169.7301418448688,0.046919289621429716,,
BASN_hydrogen_ctavgcf_moderate_0,BASN_hydrogen_ctavgcf_moderate_0,Hydrogen_CTAvgCF_Moderate,BASN,Hydrogen,2050,6.619980876141022e-06,0.03309990438070511,0.0,2.7751345479221263e-05,1.2118460699737597,0.5827782550636466,276.0920709008973,0.02730612446394169,,
BASN_landbasedwind_class3_moderate_0,BASN_landbasedwind_class3_moderate_0,LandbasedWind_Class3_Moderate,BASN,Wind,2030,8091.365571709526,-105835061.6779606,0.0,2039.8172209604816,218743169.21378928,82341301.75851175,24.130588040293986,0.4540649130121241,,
BASN_landbasedwind_class3_moderate_0,BASN_landbasedwind_class3_moderate_0,LandbasedWind_Class3_Moderate,BASN,Wind,2040,18318.883294811334,-239610993.4961322,0.0,5035.161996866916,497483333.0759735,194196461.72517097,24.677748857816944,0.4164596432844677,,
BASN_landbasedwind_class3_moderate_0,BASN_landbasedwind_class3_moderate_0,LandbasedWind_Class3_Moderate,BASN,Wind,2050,18318.883253513428,-239610992.95595565,0.0,5035.16199922897,497483333.28381777,194196461.80639535,24.677748958717444,0.4164596421502392,,
BASN_landbasedwind_class3_moderate_1,BASN_landbasedwind_class3_moderate_1,LandbasedWind_Class3_Moderate,BASN,Wind,2030,0.0003637441309677753,-4.757773233058502,0.0,0.00011029416694695814,10.501323467442765,4.452244637147859,28.030128883193953,0.3775120550946189,,
BASN_landbasedwind_class3_moderate_1,BASN_landbasedwind_class3_moderate_1,LandbasedWind_Class3_Moderate,BASN,Wind,2040,10182.209616583641,-133183301.78491403,0.0,3474.577692989038,281543771.7520083,129751155.12280361,27.313484554171904,0.3354496792361576,,
BASN_landbasedwind_class3_moderate_1,BASN_landbasedwind_class3_moderate_1,LandbasedWind_Class3_Moderate,BASN,Wind,2050,16145.285479561799,-211180334.07266834,0.0,5509.417994960646,434342113.1985211,199794427.99717435,26.196886246356208,0.3354496785434568,,
