gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Batteries,BASN,Electricity,2030,-99.41804529717342,82175.2280659461,0.0,935.8,0.0,5834713.0,10.800496148275261,0.06701221802506811,647.2528990701475,547.834853772974
Batteries,CANO,Electricity,2030,-373.67760908230224,308867.89875707007,0.0,2678.6,0.0,16701071.0,8.26078347760041,0.0879956137325618,2432.7969341294356,2059.1193250471338
Batteries,CASO,Electricity,2030,-1603.0348155622412,1325008.4647380803,0.0,8979.8,0.0,55989053.0,6.48834286610398,0.11260251851949303,10436.424580482777,8833.389764920536
Batteries,CASO,Electricity,2040,-25.05187701592562,20706.942095976097,0.0,95.0,0.0,592325.0,4.440771162066736,0.1663368525157132,163.0981576557663,138.0462806398407
Batteries,FRCC,Electricity,2030,-0.3023128674753384,249.88047952679653,0.0,555.1999999999999,0.0,3461672.0,2078.146652572923,0.0003434622327613801,1.9681827309873159,1.6658698635119769
Batteries,ISNE,Electricity,2030,-38.42956201047145,31764.43484928008,0.0,368.4,0.0,2296974.0,10.996914218208067,0.06579874751524281,250.19246100567202,211.76289899520057
Batteries,MISC,Electricity,2030,-2.6253108930050995,2169.9835349995324,0.0,36.3,0.0,226330.5,15.79508414576856,0.04561901766162147,17.09186779300198,14.466556899996883
Batteries,MISE,Electricity,2030,-0.057093946626603956,47.19171525855451,0.0,1.3,0.0,8105.5,25.913526359207836,0.027702472092229334,0.371705381683634,0.3146114350570301
Batteries,MISS,Electricity,2030,-0.09970760044841236,82.41456349562549,0.0,10.5,0.0,65467.5,119.3052146062297,0.005989778729550083,0.6491380237525824,0.5494304233041699
Batteries,MISW,Electricity,2030,-3.3556876819540618,2773.6855996151353,0.0,31.200000000000003,0.0,194532.0,10.670226230416622,0.06784201730375768,21.84692501272163,18.491237330767568
Batteries,NWPP,Electricity,2030,-1.9966127347481732,1650.3252135651549,0.0,136.0,0.0,847960.0,77.22208188695494,0.00926033594123233,12.99878082518254,11.002168090434365
Batteries,NWPP,Electricity,2040,-8.578174599747813,7090.397442604055,0.0,100.0,0.0,623500.0,13.340374835412826,0.0541086495925218,55.847490883774846,47.26931628402704
Batteries,NYCW,Electricity,2030,-1.9996608933665065,1652.844707173388,0.0,24.200000000000003,0.0,150887.0,13.843391703268908,0.05212100737562273,13.01862560785576,11.018964714489254
Batteries,NYUP,Electricity,2030,-29.822871699658652,24650.46738925244,0.0,170.0,0.0,1059950.0,6.599877703711228,0.11065533375194118,194.15932096134156,164.3364492616829
Batteries,PJMC,Electricity,2030,-5.652197203199629,4671.8942507697175,0.0,71.3,0.0,444555.5,14.423295032098295,0.05000340624630444,36.798158874997746,31.14596167179812
Batteries,PJMD,Electricity,2030,-3.5702768107622385,2951.056926395673,0.0,40.5,0.0,252517.5,12.985274257573378,0.055605618987241166,23.24398965340006,19.673712842637823
Batteries,PJME,Electricity,2030,-0.36979730382935977,305.66058394651236,0.0,107.00000000000001,0.0,667145.0,327.5450102035779,0.002179976321323819,2.407534530139442,2.0377372263100826
Batteries,PJMW,Electricity,2030,-4.442946218707336,3672.372733900268,0.0,72.3,0.0,450790.5,18.56277558124805,0.03876185677786843,28.92543111137579,24.482484892668452
Batteries,RMRG,Electricity,2030,-16.020339295878603,13241.811699249596,0.0,240.2,0.0,1497647.0,17.114978441184945,0.04206980706976481,104.29908395754258,88.27874466166398
Batteries,SPPC,Electricity,2030,-0.078795830835378,65.1296789248706,0.0,1.2,0.0,7482.0,17.38177541370368,0.04141844660973152,0.5129936903345155,0.4341978594991375
Batteries,SPPN,Electricity,2030,-0.4543340445650383,375.535483710792,0.0,4.699999999999999,0.0,29304.5,11.855085646141509,0.060974638848425695,2.9579039359703185,2.50356989140528
Batteries,SPPS,Electricity,2030,-20.843463337053244,17228.425164532913,0.0,222.0,0.0,1384170.0,12.201333654536553,0.05922277072585262,135.69963110060604,114.85616776355278
Batteries,SRCA,Electricity,2030,-18.10889423165866,14968.13288835535,0.0,160.79999999999998,0.0,1002587.9999999999,10.197225069533982,0.07103586960817171,117.89644682069434,99.78755258903568
Batteries,SRCE,Electricity,2030,-4.507212196797151,3725.492581415403,0.0,122.3,0.0,762540.5,30.85226889474678,0.023246274482518387,29.34382940623317,24.83661720943602
Batteries,SRSE,Electricity,2030,-0.42620070076421107,352.28151672545204,0.0,151.7,0.0,945849.5,402.88877073877546,0.0017721496459209758,2.7747441456005584,2.348543444836348
Batteries,SRSG,Electricity,2030,-217.81274365861526,180035.84593032597,0.0,2075.0,0.0,12937625.0,10.929207551539657,0.06621204448943245,1418.051716527455,1200.23897286884
Batteries,TRE,Electricity,2030,-247.2629235770549,204378.26026915244,0.0,3029.5,0.0,18888932.5,14.013215545864231,0.051482527094970386,1609.784658704738,1362.521735127683
Batteries,TRE,Electricity,2040,-61.26926540158764,50642.877184372235,0.0,300.0,0.0,1870500.0,5.690265790557847,0.12882294766069455,398.88844663073587,337.61918122914824
Batteries,TRE_WEST,Electricity,2030,-150.9036869726779,124731.32876336253,0.0,1876.4,0.0,11699354.0,14.219465285095794,0.050727824796542045,982.4458787284282,831.5421917557503
Battery_*_Moderate,BASN,Electricity,2030,-2.6531149219438703e-05,0.021929653029218097,0.0,7.228804767138263e-05,0.9563459224261026,0.452667754518198,9.787728935339242,0.23150553572953037,0.0001727288360808927,0.00014619768686145398
