GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
MISC_landbasedwind_class3_moderate_22,2050,LandbasedWind_Class3_Moderate,MISC,Wind,0.000323811,.,409.582
MISC_landbasedwind_class3_moderate_23,2030,LandbasedWind_Class3_Moderate,MISC,Wind,2.21051e-05,.,32.3572
MISC_landbasedwind_class3_moderate_23,2040,LandbasedWind_Class3_Moderate,MISC,Wind,2.45686e-05,.,30.6081
MISC_landbasedwind_class3_moderate_23,2050,LandbasedWind_Class3_Moderate,MISC,Wind,4.44527e-05,.,51.3221
MISE_naturalgas_ccccsavgcf_conservative_0,2030,NaturalGas_CCCCSAvgCF_Conservative,MISE,Naturalgas,2.72538e-06,.,7.56615
MISE_naturalgas_ccccsavgcf_conservative_0,2040,NaturalGas_CCCCSAvgCF_Conservative,MISE,Naturalgas,1.4929e-06,.,3.87135
MISE_naturalgas_ccccsavgcf_conservative_0,2050,NaturalGas_CCCCSAvgCF_Conservative,MISE,Naturalgas,4.08983e-06,.,9.83782
MISE_naturalgas_ccavgcf_moderate_0,2030,NaturalGas_CCAvgCF_Moderate,MISE,Naturalgas,1.94617e-05,.,20.4929
MISE_naturalgas_ccavgcf_moderate_0,2040,NaturalGas_CCAvgCF_Moderate,MISE,Naturalgas,2107.95,.,2.12167e+09
MISE_naturalgas_ccavgcf_moderate_0,2050,NaturalGas_CCAvgCF_Moderate,MISE,Naturalgas,6635.02,.,6.41028e+09
MISE_naturalgas_ctavgcf_moderate_0,2030,NaturalGas_CTAvgCF_Moderate,MISE,Naturalgas,7.82979e-06,.,7.21363
MISE_naturalgas_ctavgcf_moderate_0,2040,NaturalGas_CTAvgCF_Moderate,MISE,Naturalgas,1.17975e-05,.,10.2037
MISE_naturalgas_ctavgcf_moderate_0,2050,NaturalGas_CTAvgCF_Moderate,MISE,Naturalgas,5.88034e-05,.,48.3104
MISE_battery_moderate_0,2030,Battery_*_Moderate,MISE,Electricity,7.46632e-05,0.000102622,20.8748
MISE_battery_moderate_0,2040,Battery_*_Moderate,MISE,Electricity,4318.22,12076.7,1.5112e+09
MISE_battery_moderate_0,2050,Battery_*_Moderate,MISE,Electricity,3904.39,7808.77,1.82942e+09
MISE_nuclear_nuclear_moderate_0,2030,Nuclear_Nuclear_Moderate,MISE,Uranium,2.73774e-06,.,11.6146
MISE_nuclear_nuclear_moderate_0,2040,Nuclear_Nuclear_Moderate,MISE,Uranium,2.24213e-06,.,9.07336
MISE_nuclear_nuclear_moderate_0,2050,Nuclear_Nuclear_Moderate,MISE,Uranium,1.01198e-08,.,0.0699125
MISE_hydrogen_ctavgcf_moderate_0,2030,Hydrogen_CTAvgCF_Moderate,MISE,Hydrogen,4.61089e-06,.,4.65184
