PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2030,EmissionsCost,annual,87538068186.159,14221251104.787436
2030,FuelCostsPerTP,timepoint,139827668933.47433,22716110059.35401
2030,GenVariableOMCostsInTP,timepoint,28424331281.736023,4617757291.417438
2030,NodeSpillageCosts,timepoint,27.18925885012607,4.417110012508183
2030,StorageEnergyFixedCost,annual,11295059892.557976,1834971759.1903431
2030,TotalGenAmortizationAdjustment,annual,24.709606132670764,4.014270828616116
2030,TotalGenFixedCosts,annual,897859203140.9683,145864324506.8889
2030,TxFixedCosts,annual,99802390460.44673,16213687199.239208
2030,UnservedLoadPenalty,timepoint,30.592194438097238,4.969943796628716
2040,EmissionsCost,annual,124591413995.67888,25030926051.298943
2040,FuelCostsPerTP,timepoint,110101872286.78659,22119917696.86231
2040,GenVariableOMCostsInTP,timepoint,19815026012.46023,3980919992.12449
2040,NodeSpillageCosts,timepoint,26.204080158350763,5.264507173092492
2040,StorageEnergyFixedCost,annual,75987144190.92934,15266128909.64147
2040,TotalGenAmortizationAdjustment,annual,438135594.3368424,88023237.80246826
2040,TotalGenFixedCosts,annual,1026781718323.3353,206284658291.68973
2040,TxFixedCosts,annual,113330781794.18411,22768618859.43846
2040,UnservedLoadPenalty,timepoint,352322532.58142585,70783041.75565337
2050,EmissionsCost,annual,123428739775.07086,40392253936.44941
2050,FuelCostsPerTP,timepoint,80200296074.25209,26245676093.858162
2050,GenVariableOMCostsInTP,timepoint,11847708990.129723,3877181853.8094573
2050,NodeSpillageCosts,timepoint,26.004981778454635,8.510172181310974
2050,StorageEnergyFixedCost,annual,70475035199.05164,23063068804.946568
2050,TotalGenAmortizationAdjustment,annual,632969389.784946,207140252.52777305
2050,TotalGenFixedCosts,annual,762285452782.7566,249459142473.40652
2050,TxFixedCosts,annual,78312924571.18898,25628030728.904507
2050,UnservedLoadPenalty,timepoint,329298045.7438316,107763315.97244279
