PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2030,1264746721977.7852,205468101934.2708,5.702736852063134,36029735768
2040,1471398414756.556,295609976085.8899,5.012573186251733,58973697760
2050,1127512424853.9683,368980257468.38,5.315923643037464,69410375740
