STORAGE_GEN_BLD_YRS_1,STORAGE_GEN_BLD_YRS_2,BuildStorageEnergy
ISNE_batteries_1,2022,130.7
ISNE_batteries_1,2023,86.7
ISNE_batteries_1,2024,48.8
ISNE_hydroelectric_pumped_storage_1,1928,
ISNE_hydroelectric_pumped_storage_1,1929,
ISNE_hydroelectric_pumped_storage_1,1972,4526.0
ISNE_hydroelectric_pumped_storage_1,1973,13578.0
ISNE_hydroelectric_pumped_storage_1,1974,9300.0
MISC_batteries_1,2016,40.0
MISC_batteries_1,2017,0.5
MISC_batteries_1,2019,9.6
MISC_batteries_1,2020,10.0
MISC_hydroelectric_pumped_storage_1,1963,6820.0
MISC_hydroelectric_pumped_storage_1,1984,480.5
MISE_batteries_1,2018,1.0
MISE_batteries_1,2021,0.5
MISE_hydroelectric_pumped_storage_1,1973,31728.5
MISS_batteries_1,2016,0.5
MISS_batteries_1,2022,30.0
MISW_batteries_1,2018,34.0
MISW_batteries_1,2020,0.6
MISW_batteries_1,2021,2.9
MISW_batteries_1,2022,13.4
MISW_batteries_1,2023,12.0
NWPP_batteries_1,2013,
NWPP_batteries_1,2015,2.0
NWPP_batteries_1,2016,6.0
NWPP_batteries_1,2020,4.0
NWPP_batteries_1,2021,1.4
NWPP_batteries_1,2022,120.0
NWPP_batteries_1,2025,200.0
NWPP_hydroelectric_pumped_storage_1,1973,1550.0
NWPP_hydroelectric_pumped_storage_1,1983,2487.75
NWPP_hydroelectric_pumped_storage_1,1984,829.25
NYCW_batteries_1,1970,
NYCW_batteries_1,1998,
NYCW_batteries_1,2018,40.0
NYCW_batteries_1,2019,40.0
NYCW_batteries_1,2021,12.0
NYCW_batteries_1,2023,15.0
NYCW_batteries_1,2024,9.8
NYUP_batteries_1,2017,1.3
NYUP_batteries_1,2018,4.2
NYUP_batteries_1,2019,68.4
NYUP_batteries_1,2020,38.3
NYUP_batteries_1,2021,64.7
NYUP_batteries_1,2022,127.5
NYUP_batteries_1,2023,90.0
NYUP_hydroelectric_pumped_storage_1,1961,930.0
NYUP_hydroelectric_pumped_storage_1,1962,2790.0
NYUP_hydroelectric_pumped_storage_1,1973,18059.050000000003
PJMC_batteries_1,2013,
