gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Batteries,BASN,Electricity,2030,-90.48638321779727,74792.65215303561,0.0,935.8,0.0,5834713.0,11.851777177378485,0.06099187833990709,589.1040642380347,498.61768102023746
Batteries,CANO,Electricity,2030,-579.263014969918,478797.08667449484,0.0,2678.6,0.0,16701071.0,5.382196936284008,0.13640797138462854,3771.243592799884,3191.9805778299656
Batteries,CASO,Electricity,2030,-1746.4381324692845,1443540.2695347373,0.0,8979.8,0.0,55989053.0,5.967889619876585,0.12267564642770071,11370.039929367535,9623.601796898252
Batteries,CASO,Electricity,2040,-23.288147255248067,19249.109902261203,0.0,95.0,0.0,592325.0,4.765732906671331,0.15462622824899752,151.61554660365607,128.32739934840802
Batteries,FRCC,Electricity,2030,-66.12458814496804,54656.10561297911,0.0,555.1999999999999,0.0,3461672.0,9.650325611868956,0.07512514824457311,430.4986255648287,364.3740374198607
Batteries,ISNE,Electricity,2030,-61.48311855254498,50819.64099157781,0.0,368.4,0.0,2296974.0,6.929782251061171,0.10527083961312468,400.2807251630637,338.79760661051876
Batteries,MISC,Electricity,2030,-4.645338263920906,3839.663415038764,0.0,36.3,0.0,226330.5,8.991810161544395,0.08072027751370608,30.24309436417934,25.59775610025843
Batteries,MISE,Electricity,2030,-0.11177527945405331,92.39030012626509,0.0,1.3,0.0,8105.5,13.309660682326978,0.054234937145595644,0.727710613629154,0.6159353341751006
Batteries,MISS,Electricity,2030,-1.938946917556267,1602.661585013038,0.0,10.5,0.0,65467.5,6.277385276986039,0.11647927096146857,12.623357484309853,10.684410566753588
Batteries,MISW,Electricity,2030,-5.027846683825229,4155.830324181491,0.0,31.200000000000003,0.0,194532.0,7.171412743973632,0.10164811498596758,32.73338217836851,27.70553549454328
Batteries,NWPP,Electricity,2030,-8.020471402305791,6629.421678094068,0.0,136.0,0.0,847960.0,19.33628896699896,0.03719913586160305,52.21661592293292,44.19614452062713
Batteries,NWPP,Electricity,2040,-10.852471636051906,8970.246907091092,0.0,100.0,0.0,623500.0,10.576134416218501,0.06845426516400406,70.65411768332586,59.801646047273955
Batteries,NYCW,Electricity,2030,-7.414763482617902,6128.766630951031,0.0,24.200000000000003,0.0,150887.0,3.8429208375630246,0.19326527736628998,48.27320768895811,40.85844420634021
Batteries,NYUP,Electricity,2030,-25.646804773084817,21198.68796628135,0.0,170.0,0.0,1059950.0,7.650110396119495,0.0951603819501964,166.9713912149605,141.32458644187568
Batteries,PJMC,Electricity,2030,-9.119504050647128,7537.84109373963,0.0,71.3,0.0,444555.5,8.996475293221847,0.08067771019608405,59.371778008911335,50.25227395826421
Batteries,PJMD,Electricity,2030,-5.352218740848196,4423.944188707394,0.0,40.5,0.0,252517.5,8.71195814962739,0.08335866135884235,34.845179998897486,29.49296125804929
Batteries,PJME,Electricity,2030,-10.56300710098584,8730.98657508948,0.0,107.00000000000001,0.0,667145.0,11.611677227349809,0.06226954012108367,68.76958426824905,58.20657716726321
Batteries,PJMW,Electricity,2030,-10.312156885817558,8523.643154331538,0.0,72.3,0.0,450790.5,8.083060286039501,0.08996696662186641,67.13644458136113,56.82428769554359
Batteries,RMRG,Electricity,2030,-24.547313467214117,20289.889817386305,0.0,240.2,0.0,1497647.0,11.22187136164244,0.06446185533151781,159.81324558312284,135.26593211590873
Batteries,SPPC,Electricity,2030,-0.12219190653789122,101.0003784631862,0.0,1.2,0.0,7482.0,11.261839550275239,0.0642299924089249,0.7955277629591327,0.6733358564212414
Batteries,SPPN,Electricity,2030,-0.8756443619319876,723.7757911344843,0.0,4.699999999999999,0.0,29304.5,6.223255079601358,0.11751743679605457,5.70081630282855,4.825171940896563
Batteries,SPPS,Electricity,2030,-28.302634947134564,23393.897850174,0.0,222.0,0.0,1384170.0,9.025199051040385,0.08041660427657742,184.26195394829455,155.95931900116
Batteries,SRCA,Electricity,2030,-23.211905867438954,19186.09182528823,0.0,160.79999999999998,0.0,1002587.9999999999,7.988396759979058,0.09105348859187844,151.11918470269384,127.9072788352549
Batteries,SRCE,Electricity,2030,-17.730058710318463,14655.002684220504,0.0,122.3,0.0,762540.5,7.954916687129483,0.09144407282915684,115.43007660512184,97.70001789480338
Batteries,SRSE,Electricity,2030,-20.36816528808299,16835.562429139634,0.0,151.7,0.0,945849.5,8.577245932362384,0.0846911761792262,132.6052481490139,112.23708286093091
Batteries,SRSG,Electricity,2030,-229.49442559068538,189691.48708986567,0.0,2075.0,0.0,12937625.0,10.380526312868362,0.06976311365971787,1494.1043395231231,1264.6099139324378
Batteries,TRE,Electricity,2030,-278.91337758789723,230539.33957242063,0.0,3029.5,0.0,18888932.5,12.440049413063175,0.05807245731695427,1815.8423080707014,1536.9289304828044
Batteries,TRE,Electricity,2040,-45.5739869110733,37669.749141440225,0.0,300.0,0.0,1870500.0,7.598284270397262,0.09582252020105878,296.70564785400813,251.13166094293484
Batteries,TRE_WEST,Electricity,2030,-176.0965549595523,145554.81023963168,0.0,1876.4,0.0,11699354.0,12.206647919164231,0.059196666830497,1146.461956557097,970.3654015975446
Battery_*_Moderate,BASN,Electricity,2030,-8.527252174719865e-06,0.01245250269493936,0.0,3.231051969639685e-05,0.8041354786331398,0.20232847433883708,12.273634633474112,0.29410933996709876,9.154393680764894e-05,8.301668463292908e-05
