GroupExposure_index_1,GroupExposure_index_2,GroupExposure
Asian,2030,0.057100549178830194
Asian,2040,0.04153714294800997
Asian,2050,0.03398491240249445
Black,2030,0.05710054915567383
Black,2040,0.04153714293073556
Black,2050,0.0339849123866802
Latino,2030,0.0530559981261537
Latino,2040,0.037703618351628235
Latino,2050,0.03198557756968919
Native,2030,0.022693482164859544
Native,2040,0.01756735953001195
Native,2050,0.015205458409017276
WhiteNoLat,2030,0.03487763672350749
WhiteNoLat,2040,0.026964425099329493
WhiteNoLat,2050,0.022802686886579247
