GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
BASN_natural_gas_fired_combustion_turbine_2,2010,45.4
BASN_natural_gas_fired_combustion_turbine_2,2012,27.0
BASN_natural_gas_fired_combustion_turbine_2,2015,5.3
BASN_natural_gas_fired_combustion_turbine_2,2019,15.0
BASN_natural_gas_internal_combustion_engine_1,1986,12.5
BASN_natural_gas_internal_combustion_engine_1,1988,5.2
BASN_natural_gas_internal_combustion_engine_1,1989,0.2
BASN_natural_gas_internal_combustion_engine_1,1995,4.0
BASN_natural_gas_internal_combustion_engine_1,1996,0.1
BASN_natural_gas_internal_combustion_engine_1,2000,6.0
BASN_natural_gas_internal_combustion_engine_1,2002,6.199999999999999
BASN_natural_gas_internal_combustion_engine_1,2003,3.8
BASN_natural_gas_internal_combustion_engine_1,2004,6.6
BASN_natural_gas_internal_combustion_engine_1,2005,117.60000000000004
BASN_natural_gas_internal_combustion_engine_1,2006,1.9
BASN_natural_gas_internal_combustion_engine_1,2007,8.2
BASN_natural_gas_internal_combustion_engine_1,2008,4.0
BASN_natural_gas_internal_combustion_engine_1,2015,4.199999999999999
BASN_natural_gas_internal_combustion_engine_1,2016,5.0
BASN_natural_gas_internal_combustion_engine_1,2018,12.0
BASN_natural_gas_internal_combustion_engine_1,2022,23.9
BASN_natural_gas_steam_turbine_1,1948,5.7
BASN_natural_gas_steam_turbine_1,1968,6.0
BASN_natural_gas_steam_turbine_1,1974,108.0
BASN_natural_gas_steam_turbine_1,1978,226.0
BASN_natural_gas_steam_turbine_1,1982,237.5
BASN_natural_gas_steam_turbine_1,1994,5.0
BASN_onshore_wind_turbine_1,2005,10.5
BASN_onshore_wind_turbine_1,2006,64.5
BASN_onshore_wind_turbine_1,2008,60.9
BASN_onshore_wind_turbine_1,2009,232.9
BASN_onshore_wind_turbine_1,2010,207.3
BASN_onshore_wind_turbine_1,2011,368.90000000000003
BASN_onshore_wind_turbine_1,2012,501.3
BASN_onshore_wind_turbine_1,2016,63.800000000000004
BASN_onshore_wind_turbine_1,2024,160.0
BASN_onshore_wind_turbine_1,2026,360.0
BASN_petroleum_liquids_1,1960,6.0
BASN_petroleum_liquids_1,1967,5.4
BASN_petroleum_liquids_1,1987,14.0
BASN_petroleum_liquids_1,1999,12.2
BASN_petroleum_liquids_1,2001,1.6
BASN_petroleum_liquids_1,2008,12.0
BASN_small_hydroelectric_1,1896,1.2
BASN_small_hydroelectric_1,1904,1.4
BASN_small_hydroelectric_1,1907,2.5
BASN_small_hydroelectric_1,1910,5.0
BASN_small_hydroelectric_1,1911,6.2
BASN_small_hydroelectric_1,1912,1.2
BASN_small_hydroelectric_1,1914,2.2
