PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2030,1288385949027.3638,209308481220.23154,5.809326012491326,36029735768
2040,1513352936239.892,304038811517.5469,5.155498519948105,58973697760
2050,1161918676303.1143,380239758683.9626,5.478140042178694,69410375740
