GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
BASN_landbasedwind_class3_moderate_0,2030,LandbasedWind_Class3_Moderate,BASN,Wind,5035.16,.,8.30042e+09
BASN_landbasedwind_class3_moderate_0,2040,LandbasedWind_Class3_Moderate,BASN,Wind,1.7625e-07,.,0.25213
BASN_landbasedwind_class3_moderate_0,2050,LandbasedWind_Class3_Moderate,BASN,Wind,2.32398e-07,.,0.311236
BASN_landbasedwind_class3_moderate_1,2030,LandbasedWind_Class3_Moderate,BASN,Wind,5509.42,.,8.06352e+09
BASN_landbasedwind_class3_moderate_1,2040,LandbasedWind_Class3_Moderate,BASN,Wind,5.14355e-07,.,0.640693
BASN_landbasedwind_class3_moderate_1,2050,LandbasedWind_Class3_Moderate,BASN,Wind,7.94451e-08,.,0.0917062
BASN_landbasedwind_class3_moderate_2,2030,LandbasedWind_Class3_Moderate,BASN,Wind,1229.98,.,2.22316e+09
BASN_landbasedwind_class3_moderate_2,2040,LandbasedWind_Class3_Moderate,BASN,Wind,3.76765e-08,.,0.059887
BASN_landbasedwind_class3_moderate_2,2050,LandbasedWind_Class3_Moderate,BASN,Wind,1.79567e-08,.,0.026903
BASN_landbasedwind_class3_moderate_3,2030,LandbasedWind_Class3_Moderate,BASN,Wind,4920.75,.,7.79291e+09
BASN_landbasedwind_class3_moderate_3,2040,LandbasedWind_Class3_Moderate,BASN,Wind,7.26188e-07,.,0.99177
BASN_landbasedwind_class3_moderate_3,2050,LandbasedWind_Class3_Moderate,BASN,Wind,5.19708e-08,.,0.0662331
BASN_landbasedwind_class3_moderate_4,2030,LandbasedWind_Class3_Moderate,BASN,Wind,3282.63,.,4.49951e+09
BASN_landbasedwind_class3_moderate_4,2040,LandbasedWind_Class3_Moderate,BASN,Wind,2.61447e-07,.,0.30138
BASN_landbasedwind_class3_moderate_4,2050,LandbasedWind_Class3_Moderate,BASN,Wind,1.02566e-07,.,0.108868
BASN_landbasedwind_class3_moderate_5,2030,LandbasedWind_Class3_Moderate,BASN,Wind,0.000110588,.,174.289
BASN_landbasedwind_class3_moderate_5,2040,LandbasedWind_Class3_Moderate,BASN,Wind,0.000465741,.,632.504
BASN_landbasedwind_class3_moderate_5,2050,LandbasedWind_Class3_Moderate,BASN,Wind,6353.19,.,8.04802e+09
BASN_landbasedwind_class3_moderate_6,2030,LandbasedWind_Class3_Moderate,BASN,Wind,3319.12,.,5.83319e+09
BASN_landbasedwind_class3_moderate_6,2040,LandbasedWind_Class3_Moderate,BASN,Wind,2771.74,.,4.26706e+09
BASN_landbasedwind_class3_moderate_6,2050,LandbasedWind_Class3_Moderate,BASN,Wind,1.74778e-07,.,0.253113
BASN_landbasedwind_class3_moderate_7,2030,LandbasedWind_Class3_Moderate,BASN,Wind,936.63,.,1.88453e+09
BASN_landbasedwind_class3_moderate_7,2040,LandbasedWind_Class3_Moderate,BASN,Wind,4.87932e-08,.,0.0875381
BASN_landbasedwind_class3_moderate_7,2050,LandbasedWind_Class3_Moderate,BASN,Wind,1.61593e-08,.,0.0275157
BASN_landbasedwind_class3_moderate_8,2030,LandbasedWind_Class3_Moderate,BASN,Wind,7.1748e-05,.,110.427
BASN_landbasedwind_class3_moderate_8,2040,LandbasedWind_Class3_Moderate,BASN,Wind,7.65176e-05,.,101.089
BASN_landbasedwind_class3_moderate_8,2050,LandbasedWind_Class3_Moderate,BASN,Wind,0.000337574,.,415.161
BASN_landbasedwind_class3_moderate_9,2030,LandbasedWind_Class3_Moderate,BASN,Wind,0.00146211,.,2989.39
BASN_landbasedwind_class3_moderate_9,2040,LandbasedWind_Class3_Moderate,BASN,Wind,621.64,.,1.13549e+09
BASN_landbasedwind_class3_moderate_9,2050,LandbasedWind_Class3_Moderate,BASN,Wind,1.93982e-08,.,0.0336619
BASN_landbasedwind_class3_moderate_10,2030,LandbasedWind_Class3_Moderate,BASN,Wind,6.94499e-05,.,121.207
BASN_landbasedwind_class3_moderate_10,2040,LandbasedWind_Class3_Moderate,BASN,Wind,4049.16,.,6.1842e+09
BASN_landbasedwind_class3_moderate_10,2050,LandbasedWind_Class3_Moderate,BASN,Wind,1795.73,.,2.57865e+09
BASN_landbasedwind_class3_moderate_11,2030,LandbasedWind_Class3_Moderate,BASN,Wind,0.000416339,.,823.066
BASN_landbasedwind_class3_moderate_11,2040,LandbasedWind_Class3_Moderate,BASN,Wind,8.53985e-07,.,1.50212
BASN_landbasedwind_class3_moderate_11,2050,LandbasedWind_Class3_Moderate,BASN,Wind,0.000996101,.,1661.16
BASN_landbasedwind_class3_moderate_12,2030,LandbasedWind_Class3_Moderate,BASN,Wind,4.40542e-05,.,67.758
BASN_landbasedwind_class3_moderate_12,2040,LandbasedWind_Class3_Moderate,BASN,Wind,5.96733e-05,.,78.7744
BASN_landbasedwind_class3_moderate_12,2050,LandbasedWind_Class3_Moderate,BASN,Wind,0.000165404,.,203.25
BASN_landbasedwind_class3_moderate_13,2030,LandbasedWind_Class3_Moderate,BASN,Wind,5.58209e-05,.,117.947
BASN_landbasedwind_class3_moderate_13,2040,LandbasedWind_Class3_Moderate,BASN,Wind,1237.41,.,2.34488e+09
BASN_landbasedwind_class3_moderate_13,2050,LandbasedWind_Class3_Moderate,BASN,Wind,5.26811e-08,.,0.0950209
BASN_landbasedwind_class3_moderate_14,2030,LandbasedWind_Class3_Moderate,BASN,Wind,5.51741e-05,.,96.6275
BASN_landbasedwind_class3_moderate_14,2040,LandbasedWind_Class3_Moderate,BASN,Wind,0.000330211,.,506.33
BASN_landbasedwind_class3_moderate_14,2050,LandbasedWind_Class3_Moderate,BASN,Wind,1489.78,.,2.14836e+09
BASN_landbasedwind_class3_moderate_15,2030,LandbasedWind_Class3_Moderate,BASN,Wind,0.000117264,.,229.78
BASN_landbasedwind_class3_moderate_15,2040,LandbasedWind_Class3_Moderate,BASN,Wind,8.45451e-05,.,147.238
BASN_landbasedwind_class3_moderate_15,2050,LandbasedWind_Class3_Moderate,BASN,Wind,0.000446886,.,737.472
BASN_landbasedwind_class3_moderate_16,2030,LandbasedWind_Class3_Moderate,BASN,Wind,4.79922e-05,.,92.0445
BASN_landbasedwind_class3_moderate_16,2040,LandbasedWind_Class3_Moderate,BASN,Wind,5.964e-05,.,101.385
BASN_landbasedwind_class3_moderate_16,2050,LandbasedWind_Class3_Moderate,BASN,Wind,0.0001565,.,251.754
BASN_landbasedwind_class3_moderate_17,2030,LandbasedWind_Class3_Moderate,BASN,Wind,5.93138e-05,.,123.868
BASN_landbasedwind_class3_moderate_17,2040,LandbasedWind_Class3_Moderate,BASN,Wind,1457.66,.,2.72638e+09
BASN_landbasedwind_class3_moderate_17,2050,LandbasedWind_Class3_Moderate,BASN,Wind,4.22565e-08,.,0.0751782
BASN_landbasedwind_class3_moderate_18,2030,LandbasedWind_Class3_Moderate,BASN,Wind,3.91124e-05,.,58.7511
BASN_landbasedwind_class3_moderate_18,2040,LandbasedWind_Class3_Moderate,BASN,Wind,3.74278e-05,.,48.0627
BASN_landbasedwind_class3_moderate_18,2050,LandbasedWind_Class3_Moderate,BASN,Wind,0.000108449,.,129.363
BASN_landbasedwind_class3_moderate_19,2030,LandbasedWind_Class3_Moderate,BASN,Wind,3.53702e-05,.,59.679
BASN_landbasedwind_class3_moderate_19,2040,LandbasedWind_Class3_Moderate,BASN,Wind,6.31284e-05,.,92.7548
BASN_landbasedwind_class3_moderate_19,2050,LandbasedWind_Class3_Moderate,BASN,Wind,0.000147451,.,203.19
BASN_landbasedwind_class3_moderate_20,2030,LandbasedWind_Class3_Moderate,BASN,Wind,3.16078e-05,.,49.931
BASN_landbasedwind_class3_moderate_20,2040,LandbasedWind_Class3_Moderate,BASN,Wind,2.89351e-05,.,39.4021
