TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
25-26,2030,3.537884894054841e-07
25-26,2040,7.344456620895671e-07
25-26,2050,2.6050337463409952e-08
25-20,2030,9999.999999969345
25-20,2040,9999.999611201725
25-20,2050,2854.3860609696403
26-20,2030,6013.560539381508
26-20,2040,1853.8984820114779
26-20,2050,1.8405203798555964e-06
4-23,2030,4.1605748774401153e-07
4-23,2040,5011.156071450348
4-23,2050,46.61055260553373
9-7,2030,324.3773245677087
9-7,2040,7.454016301617836e-08
9-7,2050,8.227674114583742e-08
9-13,2030,6835.051203155947
9-13,2040,4.3122063272691773e-07
9-13,2050,6.665436756505634e-07
9-6,2030,2.700262206219459e-08
9-6,2040,9.005464664643484e-09
9-6,2050,2.55815611441127e-08
9-19,2030,1.4483924433401834e-06
9-19,2040,8.360997031751607e-07
9-19,2050,3.9683504973485856e-07
9-18,2030,0.00033490048706874255
9-18,2040,251.1485962652322
9-18,2050,4.440823063681577e-07
7-6,2030,3511.681601253933
7-6,2040,2256.8964236986476
7-6,2050,1051.9544338075289
7-16,2030,8.203054499778924e-09
7-16,2040,1.0265216122334734e-08
7-16,2050,9.128102320800204e-07
13-6,2030,1.589963050421261e-07
13-6,2040,3.767538816252209e-08
13-6,2050,1.0982525561674607e-07
13-16,2030,9999.99999715164
13-16,2040,650.3149991305817
13-16,2050,279.7503776004653
6-19,2030,9999.999710512977
6-19,2040,4.5079880388119044e-07
6-19,2050,5.333817094573162e-07
6-18,2030,6429.417048557061
6-18,2040,0.0009006148998440338
6-18,2050,5.141761522690231e-07
6-20,2030,8203.614912017483
6-20,2040,9528.794863867328
6-20,2050,2276.363227408438
6-8,2030,1.893950060215189e-08
6-8,2040,1.0198273855535968e-08
6-8,2050,6.103156066366688e-08
6-16,2030,9097.294150271717
6-16,2040,9081.188525575404
6-16,2050,745.7050950052027
6-22,2030,1.0204396159297485e-06
6-22,2040,1.886598783429153e-08
6-22,2050,5.3671741595501795e-08
19-18,2030,2258.5597923983973
19-18,2040,162.13980019447465
19-18,2050,6.31197443501118e-06
19-20,2030,5007.070688952599
19-20,2040,9.325507804701483e-07
19-20,2050,1.613843859238568e-06
18-20,2030,2.525482662425787e-07
18-20,2040,1.233931904450087e-07
18-20,2050,6.788410240121462e-07
18-8,2030,9455.297905433423
18-8,2040,2.9022980067710995e-08
18-8,2050,7.186694012263412e-08
20-8,2030,16969.999998878975
20-8,2040,16969.99996127015
20-8,2050,6437.689957008147
20-24,2030,4876.662578318325
20-24,2040,4.766588994834392e-07
20-24,2050,7.402660971916393e-07
8-23,2030,9999.99998999469
8-23,2040,9379.988483951274
8-23,2050,3630.4954798260596
8-22,2030,6.227696880739775e-07
8-22,2040,3.85509612931901e-08
8-22,2050,1.6445580857987287e-07
23-21,2030,2.0617719036437286e-07
23-21,2040,197.45836256356245
23-21,2050,263.27049127124263
23-22,2030,7.052388384727746e-07
23-22,2040,3.805064622938895e-08
23-22,2050,1.2437314244322988e-06
21-14,2030,4.930977429110997e-08
21-14,2040,181.7917513323124
21-14,2050,4.102498716223397e-07
21-16,2030,6.90173597797634e-08
21-16,2040,3.8381536259506904e-08
21-16,2050,5.5098379167990205e-08
21-22,2030,2.000649978789425e-07
21-22,2040,1008.9240664013141
21-22,2050,506.85654071878884
14-16,2030,7.200032868135285e-07
14-16,2040,2.0683682381926107e-08
14-16,2050,6.994968458439983e-08
14-15,2030,2972.660625731089
14-15,2040,6882.5528733041865
14-15,2050,5180.539061207414
16-15,2030,5488.905036372525
16-15,2040,6862.399838238324
16-15,2050,1669.980178315623
16-22,2030,3.0580664803952755e-05
16-22,2040,2603.905618761053
16-22,2050,370.04296898878283
15-12,2030,3623.0661657871556
15-12,2040,3.2452772125932894e-08
15-12,2050,6.152064982041169e-08
15-11,2030,5055.445868031633
15-11,2040,5880.767628608909
15-11,2050,1915.1191694652923
12-11,2030,4242.866236625716
12-11,2040,3.8841427683840156e-08
12-11,2050,1.1675582807948768e-07
12-5,2030,3543.281118725457
12-5,2040,1058.677843392529
12-5,2050,9.652735491672636e-07
11-5,2030,1446.0666915628526
11-5,2040,2.7670546790046795e-08
11-5,2050,2.8259025966008247e-08
17-1,2030,5.058500946431219e-07
17-1,2040,3.614187737711035e-08
17-1,2050,6.981834837720529e-08
17-10,2030,5441.743187946746
17-10,2040,679.8295579363427
17-10,2050,4262.851150438812
17-24,2030,3166.700029209237
17-24,2040,5256.439974416836
17-24,2050,1959.183001576055
1-10,2030,6.891947376125152e-07
1-10,2040,8.281935409902151e-09
1-10,2050,2.350942947589847e-08
1-2,2030,8.361989201545366e-08
1-2,2040,2.447466343685382e-08
1-2,2050,4.094564505335091e-06
1-3,2030,6.112929731836701e-07
1-3,2040,1.3210343943616386e-08
1-3,2050,5.946727206315666e-08
1-24,2030,2.2035119603340611e-07
1-24,2040,5.349272306630285e-09
1-24,2050,1.3878372189733522e-08
10-2,2030,7.647316105596742e-07
10-2,2040,537.5439018474665
10-2,2050,1725.7960664202762
10-3,2030,2.6205527968790927e-05
10-3,2040,3.333229252578079e-07
10-3,2050,781.2765324339821
2-3,2030,6.981232765276294e-07
2-3,2040,3.3186421211128794e-08
2-3,2050,2.7576889639347233e-07
3-24,2030,4117.50707124989
3-24,2040,3923.3797622062084
3-24,2050,1879.1199849976927
10-19,2030,0.0006597232681559734
10-19,2040,2.0181331521898318e-07
10-19,2050,4.199946006771017e-05
10-9,2030,4.952887584710844e-07
10-9,2040,1.106615224369262e-08
10-9,2050,2.4650390692327608e-08
17-19,2030,9999.99999344257
17-19,2040,4.974530771834529e-08
17-19,2050,1.2570273153326645e-07
17-18,2030,9999.999999736758
17-18,2040,204.59107750677578
17-18,2050,1460.5188757879066
24-25,2030,99.35123940170737
24-25,2040,9005.996632596047
24-25,2050,1911.0546326429096
