PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2030,EmissionsCost,annual,4.3114402505123606e-05,7.004275476519889e-06
2030,FuelCostsPerTP,timepoint,251855433058.61356,40915905843.5544
2030,GenVariableOMCostsInTP,timepoint,-56677616855.54003,-9207726855.58318
2030,NodeSpillageCosts,timepoint,1.6941873140827894,0.27523412055289387
2030,StorageEnergyFixedCost,annual,832840415.6126834,135301508.54432735
2030,TotalGenAmortizationAdjustment,annual,1.0114339603811684,0.16431544155054262
2030,TotalGenFixedCosts,annual,656440734828.2798,106643986083.30507
2030,TxFixedCosts,annual,66437487557.51237,10793294996.15305
2030,UnservedLoadPenalty,timepoint,88006451.68923491,14297343.707110088
2040,EmissionsCost,annual,4.0303233616332886e-05,8.097084926844498e-06
2040,FuelCostsPerTP,timepoint,151004778320.88348,30337479271.837433
2040,GenVariableOMCostsInTP,timepoint,-194532832265.17108,-39082443828.3373
2040,NodeSpillageCosts,timepoint,1.6336962738781071,0.3282162816062412
2040,StorageEnergyFixedCost,annual,40066770856.1228,8049578588.527237
2040,TotalGenAmortizationAdjustment,annual,1.105322540068891,0.22206383149530584
2040,TotalGenFixedCosts,annual,886823582064.2622,178166494715.02478
2040,TxFixedCosts,annual,71514811916.06712,14367619013.503714
2040,UnservedLoadPenalty,timepoint,265282686.93248388,53296379.793291315
2050,EmissionsCost,annual,4.776048029622038e-05,1.5629694119597234e-05
2050,FuelCostsPerTP,timepoint,85462718749.42264,27967812392.12854
2050,GenVariableOMCostsInTP,timepoint,-186208868096.9672,-60937152069.26728
2050,NodeSpillageCosts,timepoint,1.6175566027241126,0.5293480041429457
2050,StorageEnergyFixedCost,annual,54618172167.85691,17873884832.407326
2050,TotalGenAmortizationAdjustment,annual,1.3773321870039026,0.4507341770943308
2050,TotalGenFixedCosts,annual,694390941704.5127,227240554344.24704
2050,TxFixedCosts,annual,71987484388.15952,23558020238.6544
2050,UnservedLoadPenalty,timepoint,90554770.97675546,29634194.686875354
