TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
25-26,2030,1.0258827345782261e-10
25-26,2040,1.542334197241626e-10
25-26,2050,3.0731157542723695e-08
25-20,2030,4822.348352984686
25-20,2040,2306.948306150058
25-20,2050,6285.361171055156
26-20,2030,50.07999526821729
26-20,2040,7941.454283082456
26-20,2050,3.097088117728649e-08
4-23,2030,1.5497268870596992e-09
4-23,2040,3.0703966235976223e-07
4-23,2050,7087.306679339737
9-7,2030,1.193928350939119e-06
9-7,2040,2.6759568322665697e-06
9-7,2050,8.850260972419261e-07
9-13,2030,6.825751611293407e-09
9-13,2040,82.86391557237097
9-13,2050,6565.202976141784
9-6,2030,8.891422193523244e-09
9-6,2040,2.776423463797713e-09
9-6,2050,1.9553002198378899e-07
9-19,2030,7.2020526588119385e-09
9-19,2040,1.146274421235718e-08
9-19,2050,2.0164245434368564e-08
9-18,2030,1.0844178861540444e-06
9-18,2040,1.8360568665612416e-06
9-18,2050,968.6261931450113
7-6,2030,1.7444539738780896e-06
7-6,2040,2452.6909075556673
7-6,2050,3022.2009260789278
7-16,2030,3.702774627802044e-09
7-16,2040,2.628661084171832e-10
7-16,2050,3.3552308856866847e-09
13-6,2030,4.344517970943561e-09
13-6,2040,1.537084987865741e-08
13-6,2050,1.2894721386423138e-09
13-16,2030,1.0358229670536826e-09
13-16,2040,1542.1395145658983
13-16,2050,7413.4489447067845
6-19,2030,5.687919185596027e-05
6-19,2040,137.28244736895655
6-19,2050,6568.662750897295
6-18,2030,5585.827598485221
6-18,2040,5.254942847958593e-09
6-18,2050,1061.472949664481
6-20,2030,2515.775519691999
6-20,2040,6.366915325994306e-09
6-20,2050,11529.07990498934
6-8,2030,1.7960602891790485e-10
6-8,2040,1.3115511329395758e-10
6-8,2050,8.872409328870762e-10
6-16,2030,1.3022588187865634e-08
6-16,2040,5.805426598810862e-08
6-16,2050,12299.673230899305
6-22,2030,1.5488289569742262e-08
6-22,2040,1.8132527596794658e-08
6-22,2050,1.433301059088362e-09
19-18,2030,1011.3214342326438
19-18,2040,1.110895991327609e-08
19-18,2050,1.2720112583282946e-08
19-20,2030,559.4506380898022
19-20,2040,4173.132251171099
19-20,2050,2252.1920910659237
18-20,2030,1.5475617561929735e-07
18-20,2040,2.3274659042661826e-08
18-20,2050,137.5892090859178
18-8,2030,3.1903313144989605e-06
18-8,2040,1923.3493710293371
18-8,2050,1962.3286552863588
20-8,2030,14688.420417608222
20-8,2040,8864.68337228273
20-8,2050,16969.99999667216
20-24,2030,1.0137939081812572e-09
20-24,2040,2538.932591510979
20-24,2050,6881.336945248083
8-23,2030,6.600342388052156e-10
8-23,2040,8695.227911384674
8-23,2050,9999.999999816593
8-22,2030,7.505365274975316e-09
8-22,2040,1.4112500084458595e-08
8-22,2050,1.77060860174561e-09
23-21,2030,1.0742647126183192e-10
23-21,2040,3.323088981827183e-10
23-21,2050,2.2976390384901948e-08
23-22,2030,2.79328615805012e-10
23-22,2040,2.1863912172383113e-10
23-22,2050,1245.3742775474734
21-14,2030,1.939277023300848e-09
21-14,2040,691.2363077918483
21-14,2050,1865.0499093335104
21-16,2030,1.3217168987808312e-10
21-16,2040,2.4946322196501067e-10
21-16,2050,9.669158696082752e-10
21-22,2030,9.352541084730943e-11
21-22,2040,2.8797870425621666e-10
21-22,2050,275.4547308084171
14-16,2030,6.56389160836648e-08
14-16,2040,6.715475221940681e-09
14-16,2050,9.639243266840771e-08
14-15,2030,2288.0247712113473
14-15,2040,11293.860675099404
14-15,2050,5180.545632471244
16-15,2030,3.462173766769281e-08
16-15,2040,57.30333068963057
16-15,2050,15519.56514811412
16-22,2030,5.321017379705228e-08
16-22,2040,2.2289698452079635e-08
16-22,2050,2172.387928239598
15-12,2030,5803.854624145997
15-12,2040,4.347054644693118e-09
15-12,2050,1974.1830029654084
15-11,2030,1215.6625132105398
15-11,2040,4850.161000240369
15-11,2050,2715.6523273076755
12-11,2030,6856.495407200092
12-11,2040,1946.0295062630883
12-11,2050,90.78098983216728
12-5,2030,4336.352488748779
12-5,2040,3312.780807768802
12-5,2050,2729.0768475502787
11-5,2030,1718.196500601981
11-5,2040,4.834619558251912e-10
11-5,2050,1.891960792327828e-09
17-1,2030,2.561560867456441e-09
17-1,2040,5.12423234031459e-10
17-1,2050,8.905542794693196e-07
17-10,2030,2.2260275782661342e-10
17-10,2040,2684.096403334903
