PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2030,918976885458.8477,149295058920.11618,4.14366233162091,36029735768
2040,955142393581.7858,191892024140.88934,3.2538577608244137,58973697760
2050,720341003686.9625,235732753933.83905,3.3962178049122755,69410375740
