GenCapacity_index_1,GenCapacity_index_2,GenCapacity
CASO_natural_gas_fired_combustion_turbine_2,2040,3954.6000000000004
CASO_natural_gas_fired_combustion_turbine_2,2050,3954.6000000000004
CASO_natural_gas_internal_combustion_engine_1,2030,50.2
CASO_natural_gas_internal_combustion_engine_1,2040,50.2
CASO_natural_gas_internal_combustion_engine_1,2050,48.6
CASO_natural_gas_steam_turbine_1,2030,1.5
CASO_natural_gas_steam_turbine_1,2040,0.0
CASO_natural_gas_steam_turbine_1,2050,0.0
CASO_onshore_wind_turbine_1,2030,3945.0999999999995
CASO_onshore_wind_turbine_1,2040,3464.3999999999996
CASO_onshore_wind_turbine_1,2050,416.1
CASO_petroleum_liquids_1,2030,14.100000000000001
CASO_petroleum_liquids_1,2040,10.8
CASO_petroleum_liquids_1,2050,7.800000000000001
CASO_small_hydroelectric_1,2030,229.20000000000005
CASO_small_hydroelectric_1,2040,229.20000000000005
CASO_small_hydroelectric_1,2050,225.20000000000005
CASO_solar_photovoltaic_1,2030,14103.6
CASO_solar_photovoltaic_1,2040,14068.3
CASO_solar_photovoltaic_1,2050,7708.299999999999
FRCC_batteries_1,2030,555.1999999999999
FRCC_batteries_1,2040,0.0
FRCC_batteries_1,2050,0.0
FRCC_biomass_1,2030,599.5
FRCC_biomass_1,2040,504.5
FRCC_biomass_1,2050,364.29999999999995
FRCC_biomass_2,2030,679.5
FRCC_biomass_2,2040,504.5
FRCC_biomass_2,2050,364.29999999999995
FRCC_conventional_hydroelectric_1,2030,43.5
FRCC_conventional_hydroelectric_1,2040,43.5
FRCC_conventional_hydroelectric_1,2050,43.5
FRCC_conventional_steam_coal_1,2030,3109.0
FRCC_conventional_steam_coal_1,2040,2523.0
FRCC_conventional_steam_coal_1,2050,453.0
FRCC_conventional_steam_coal_2,2030,674.0
FRCC_conventional_steam_coal_2,2040,442.0
FRCC_conventional_steam_coal_2,2050,442.0
FRCC_natural_gas_fired_combined_cycle_1,2030,2765.7
FRCC_natural_gas_fired_combined_cycle_1,2040,2587.7
FRCC_natural_gas_fired_combined_cycle_1,2050,2531.7
FRCC_natural_gas_fired_combined_cycle_2,2030,33276.0
FRCC_natural_gas_fired_combined_cycle_2,2040,32916.0
FRCC_natural_gas_fired_combined_cycle_2,2050,32916.0
FRCC_natural_gas_fired_combustion_turbine_1,2030,8674.4
FRCC_natural_gas_fired_combustion_turbine_1,2040,8448.4
FRCC_natural_gas_fired_combustion_turbine_1,2050,7369.400000000001
FRCC_natural_gas_fired_combustion_turbine_2,2030,1068.8999999999999
FRCC_natural_gas_fired_combustion_turbine_2,2040,922.6999999999998
FRCC_natural_gas_fired_combustion_turbine_2,2050,346.20000000000005
FRCC_natural_gas_internal_combustion_engine_1,2030,283.5
FRCC_natural_gas_internal_combustion_engine_1,2040,262.9
FRCC_natural_gas_internal_combustion_engine_1,2050,250.9
FRCC_natural_gas_steam_turbine_1,2030,335.0
FRCC_natural_gas_steam_turbine_1,2040,335.0
FRCC_natural_gas_steam_turbine_1,2050,335.0
FRCC_nuclear_1,2030,3737.0
FRCC_nuclear_1,2040,3737.0
FRCC_nuclear_1,2050,3737.0
FRCC_petroleum_liquids_1,2030,451.59999999999997
FRCC_petroleum_liquids_1,2040,149.7
FRCC_petroleum_liquids_1,2050,4.0
FRCC_solar_photovoltaic_1,2030,9462.5
FRCC_solar_photovoltaic_1,2040,9437.5
FRCC_solar_photovoltaic_1,2050,7442.9
ISNE_batteries_1,2030,368.4
ISNE_batteries_1,2040,0.0
ISNE_batteries_1,2050,0.0
ISNE_biomass_1,2030,272.9
ISNE_biomass_1,2040,102.6
ISNE_biomass_1,2050,0.0
ISNE_biomass_2,2030,559.1
ISNE_biomass_2,2040,349.59999999999997
ISNE_biomass_2,2050,165.7
ISNE_conventional_hydroelectric_1,2030,826.4000000000002
ISNE_conventional_hydroelectric_1,2040,562.9000000000001
ISNE_conventional_hydroelectric_1,2050,507.1000000000001
ISNE_conventional_steam_coal_1,2030,330.0
ISNE_conventional_steam_coal_1,2040,0.0
ISNE_conventional_steam_coal_1,2050,0.0
ISNE_hydroelectric_pumped_storage_1,2030,1768.0
ISNE_hydroelectric_pumped_storage_1,2040,1768.0
