PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2030,1231458855544.7737,200060224914.6437,5.552642023323642,36029735768
2040,1435835024215.9958,288465145072.2127,4.891420345492894,58973697760
2050,1096363681801.4706,358786781123.4824,5.169065536648865,69410375740
