gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Batteries,BASN,Electricity,2030,-118.35650661223113,97829.04999663182,0.0,935.8,0.0,5834713.0,9.096288960489062,0.07977758969282765,770.5501732564433,652.1936666442123
Batteries,CANO,Electricity,2030,-655.104465719348,541484.7849464273,0.0,2678.6,0.0,16701071.0,4.776465451375245,0.15426752398015084,4265.003032028864,3609.8985663095154
Batteries,CASO,Electricity,2030,-2046.19662810982,1691309.4004451572,0.0,8979.8,0.0,55989053.0,5.115595264704098,0.14373168410170467,13321.592631077532,11275.396002967715
Batteries,CASO,Electricity,2040,-25.165538173276914,20800.89014627266,0.0,95.0,0.0,592325.0,4.421391722912441,0.1670915280691525,163.83813914842798,138.67260097515106
Batteries,FRCC,Electricity,2030,-86.07942587765471,71150.02545199946,0.0,555.1999999999999,0.0,3461672.0,7.447970685201037,0.09779614097527844,560.4129288909845,474.33350301332996
Batteries,ISNE,Electricity,2030,-57.00893633367551,47121.44893830504,0.0,368.4,0.0,2296974.0,7.461874056570412,0.09761018371508065,371.1519292557091,314.1429929220336
Batteries,MISC,Electricity,2030,-4.7918757805386445,3960.7848248514806,0.0,36.3,0.0,226330.5,8.72142624537121,0.08326658242539198,31.197107946215187,26.40523216567654
Batteries,MISE,Electricity,2030,-0.11963869322082388,98.88885736529843,0.0,1.3,0.0,8105.5,12.444863469892324,0.058049719031944697,0.7788977423228134,0.6592590491019895
Batteries,MISS,Electricity,2030,-1.9746506414111056,1632.1721707913666,0.0,10.5,0.0,65467.5,6.166598723919342,0.11862406032264718,12.855798446686883,10.881147805275779
Batteries,MISW,Electricity,2030,-5.420311481795281,4480.226209171404,0.0,31.200000000000003,0.0,194532.0,6.663019351627038,0.10958256554006321,35.288486209604635,29.868174727809357
Batteries,NWPP,Electricity,2030,-9.755094310990597,8063.195141428088,0.0,136.0,0.0,847960.0,15.924639924871322,0.04524435254069306,63.50972858717786,53.75463427618726
Batteries,NWPP,Electricity,2040,-11.718089940063207,9685.733715844148,0.0,100.0,0.0,623500.0,9.805954080898346,0.07391432933336499,76.28964804569087,64.57155810562766
Batteries,NYCW,Electricity,2030,-4.9296261819333544,4074.644141004288,0.0,24.200000000000003,0.0,150887.0,5.7046077686238315,0.1284903272549511,32.093920455295276,27.16429427336192
Batteries,NYUP,Electricity,2030,-22.463937147338083,18567.848048346343,0.0,170.0,0.0,1059950.0,8.712785498137459,0.08335060712645598,146.24959080298038,123.7856536556423
Batteries,PJMC,Electricity,2030,-9.944121570127672,8219.437985308643,0.0,71.3,0.0,444555.5,8.262881333150666,0.08797285953721659,64.74037480551863,54.79625323539095
Batteries,PJMD,Electricity,2030,-4.704706558838083,3888.734015039611,0.0,40.5,0.0,252517.5,9.890348620787366,0.07327390402025226,30.629599992435494,25.92489343359741
Batteries,PJME,Electricity,2030,-9.313821673659001,7698.455727134031,0.0,107.00000000000001,0.0,667145.0,13.14893816980546,0.054905513099617366,60.63685985455254,51.32303818089354
Batteries,PJMW,Electricity,2030,-9.600707424384773,7935.584731001166,0.0,72.3,0.0,450790.5,8.670931637947382,0.08376001595704591,62.504605631059206,52.90389820667444
Batteries,RMRG,Electricity,2030,-26.642180056895576,22021.42695327775,0.0,240.2,0.0,1497647.0,10.351293970487353,0.0699630235172287,173.45169307874727,146.8095130218517
Batteries,SPPC,Electricity,2030,-0.13535569806736913,111.87994418379088,0.0,1.2,0.0,7482.0,10.181288522600088,0.07114872315310267,0.8812219926259748,0.7458662945586059
Batteries,SPPN,Electricity,2030,-0.9811074998981264,810.946667884539,0.0,4.699999999999999,0.0,29304.5,5.570424269658442,0.13167112654971996,6.387418619128387,5.406311119230261
Batteries,SPPS,Electricity,2030,-32.18564532016522,26603.447459949555,0.0,222.0,0.0,1384170.0,7.954458437673239,0.0914494420930187,209.54196171982892,177.3563163996637
Batteries,SRCA,Electricity,2030,-21.104051938671223,17443.817930557812,0.0,160.79999999999998,0.0,1002587.9999999999,8.771289249789303,0.08278499297315797,137.3961714757233,116.29211953705209
Batteries,SRCE,Electricity,2030,-14.776068205486212,12213.343877084639,0.0,122.3,0.0,762540.5,9.515254606038582,0.07620864567880278,96.19836071938381,81.42229251389759
Batteries,SRSE,Electricity,2030,-20.296599117121936,16776.407707746323,0.0,151.7,0.0,945849.5,8.606960958005907,0.08439359877707875,132.13931716876408,111.84271805164214
Batteries,SRSG,Electricity,2030,-279.5784537719095,231089.0656957734,0.0,2075.0,0.0,12937625.0,8.547817283812291,0.08498796125740082,1820.1722250770654,1540.5937713051562
Batteries,TRE,Electricity,2030,-367.19145234059056,303506.68482516916,0.0,3029.5,0.0,18888932.5,9.485345864398694,0.0764528042485485,2390.5693511750515,2023.377898834461
Batteries,TRE,Electricity,2040,-54.29590251162431,44878.956922598074,0.0,300.0,0.0,1870500.0,6.401816424430333,0.11416096083281967,353.4889486622782,299.1930461506538
Batteries,TRE_WEST,Electricity,2030,-209.902362427381,173497.42144387617,0.0,1876.4,0.0,11699354.0,10.264865600856695,0.07056083571717658,1366.5518387198888,1156.6494762925079
Battery_*_Moderate,BASN,Electricity,2030,-8.505960672500713e-06,0.007030708133520901,0.0,2.1471125261494677e-05,0.5343289518191227,0.13445218638747966,14.418430551497325,0.24988511055494395,5.537734822930673e-05,4.6871387556806e-05
