2020,785649.3479481164,781289.8782382956,99680.76305258676,24093.556089830272,33354.14835710572,GenX,full-base-50,2024-08-07
2027,317429.9431916961,245069.67087926192,65326.4733441082,14744.795189375067,32220.261887719684,GenX,full-base-50,2024-08-07
2030,140690.17253915512,50847.89087143626,38707.75177763446,9039.408820075372,21390.618747040782,GenX,full-base-50,2024-08-07
2035,160317.66852700515,77453.04392844318,40371.94097342809,9430.108489059376,21011.295563634805,GenX,full-base-50,2024-08-07
2040,105997.92781792552,44002.545561471634,27721.60649921712,6514.102587855785,14723.427780322601,GenX,full-base-50,2024-08-07
2045,66780.31696559458,21899.723949693976,18383.94128825192,4340.5127248102835,10123.550117789875,GenX,full-base-50,2024-08-07
2050,41888.577799643994,9561.92701998973,12329.30204694402,2911.997124204613,6987.9739354870835,GenX,full-base-50,2024-08-07
2020,785649.3479481164,781289.8782382956,99680.76305258676,24093.556089830272,33354.14835710572,GenX,full-base-200,2024-08-07
2027,317400.32153464376,245049.10738515217,65321.546724561806,14743.200213780321,32221.030499778375,GenX,full-base-200,2024-08-07
2030,50927.72714219632,9118.329755458948,15271.006313074808,3698.576089243036,9204.011627568316,GenX,full-base-200,2024-08-07
2035,31981.32226297352,6797.895472515578,9272.484505415867,2281.1501386181335,5685.182278282356,GenX,full-base-200,2024-08-07
2040,27494.555898339302,5352.632761880007,8023.359298459167,1968.243706156052,4833.83140349725,GenX,full-base-200,2024-08-07
2045,26819.928756784495,4925.096085499298,7888.393077098157,1920.3592071290018,4690.426939302716,GenX,full-base-200,2024-08-07
2050,21581.658440591094,3720.1240244546775,6474.154465722374,1558.0788344212865,3861.3514022546983,GenX,full-base-200,2024-08-07
2020,785649.3479481164,781289.8782382956,99680.76305258676,24093.556089830272,33354.14835710572,GenX,full-base-1000,2024-08-07
2027,317392.17659059545,245004.3330282414,65325.217198913015,14744.387036601305,32223.029613750023,GenX,full-base-1000,2024-08-07
2030,50242.85104591291,8954.62485364674,15149.787535556165,3653.8126077230086,9228.93950716534,GenX,full-base-1000,2024-08-07
2035,31996.2839375797,6797.288911641214,9277.686901493496,2282.326241532847,5688.414858866151,GenX,full-base-1000,2024-08-07
2040,20157.625549531465,4950.907070066384,5598.378534096674,1410.7642461635019,3435.813843387754,GenX,full-base-1000,2024-08-07
2045,9463.659121948114,3794.4498363934617,2160.2227711734886,610.898853522616,1349.6251439201665,GenX,full-base-1000,2024-08-07
2050,5327.832828398408,2674.8271443645413,1044.657513266665,324.33474572560993,671.3707538547966,GenX,full-base-1000,2024-08-07
2020,785649.3479481164,781289.8782382956,99680.76305258676,24093.556089830272,33354.14835710572,GenX,full-current-policies,2024-08-07
2027,815393.888737973,1055263.55600189,88836.5915091765,19547.979166489138,19695.71628538638,GenX,full-current-policies,2024-08-07
2030,751876.68619625,968487.1127955546,82718.70000482882,18206.283640231424,18711.0096808729,GenX,full-current-policies,2024-08-07
2035,635567.5495518255,780710.4214897685,76291.03490240099,16970.009273015075,20226.62654834648,GenX,full-current-policies,2024-08-07
2040,412414.7945132935,478781.23612821614,54152.3317152776,12144.377916780768,16756.029566983685,GenX,full-current-policies,2024-08-07
2045,318616.81775380543,367881.91578055837,42223.23106491097,9474.181812736046,13263.476381974848,GenX,full-current-policies,2024-08-07
2050,179474.42428251222,195891.21087821946,25820.348176570045,5828.217771442271,9055.510552240768,GenX,full-current-policies,2024-08-07
