,Race,Cluster,Pollutant,Exposure,year
0,Asian,BASN_batteries_1,NH3,0.0,2030
1,Asian,BASN_batteries_1,NOx,0.0,2030
2,Asian,BASN_batteries_1,PM2_5,0.0,2030
3,Asian,BASN_batteries_1,SOx,0.0,2030
4,Asian,BASN_batteries_1,VOC,0.0,2030
5,Asian,BASN_biomass_1,NH3,4.7484442441376175e-12,2030
6,Asian,BASN_biomass_1,NOx,1.1358069746696094e-11,2030
7,Asian,BASN_biomass_1,PM2_5,1.86853873118173e-11,2030
8,Asian,BASN_biomass_1,SOx,1.2314030795261823e-11,2030
9,Asian,BASN_biomass_1,VOC,4.114744527439204e-13,2030
10,Asian,BASN_biomass_2,NH3,1.0918183006008442e-11,2030
11,Asian,BASN_biomass_2,NOx,1.570703804833806e-11,2030
12,Asian,BASN_biomass_2,PM2_5,4.5967240490157853e-11,2030
13,Asian,BASN_biomass_2,SOx,2.9943337017037855e-11,2030
14,Asian,BASN_biomass_2,VOC,9.57604652506495e-13,2030
15,Asian,BASN_conventional_hydroelectric_1,NH3,0.0,2030
16,Asian,BASN_conventional_hydroelectric_1,NOx,0.0,2030
17,Asian,BASN_conventional_hydroelectric_1,PM2_5,0.0,2030
18,Asian,BASN_conventional_hydroelectric_1,SOx,0.0,2030
19,Asian,BASN_conventional_hydroelectric_1,VOC,0.0,2030
20,Asian,BASN_conventional_steam_coal_1,NH3,3.173162051219637e-14,2030
21,Asian,BASN_conventional_steam_coal_1,NOx,2.5428121406751152e-11,2030
22,Asian,BASN_conventional_steam_coal_1,PM2_5,3.0986944146995578e-12,2030
23,Asian,BASN_conventional_steam_coal_1,SOx,4.8639711489816254e-11,2030
24,Asian,BASN_conventional_steam_coal_1,VOC,1.270631473574891e-13,2030
25,Asian,BASN_conventional_steam_coal_2,NH3,6.677140780997235e-14,2030
26,Asian,BASN_conventional_steam_coal_2,NOx,2.8970845859973362e-11,2030
27,Asian,BASN_conventional_steam_coal_2,PM2_5,4.9144480929914744e-12,2030
28,Asian,BASN_conventional_steam_coal_2,SOx,1.5335707286995515e-11,2030
29,Asian,BASN_conventional_steam_coal_2,VOC,6.431279168234054e-14,2030
30,Asian,BASN_geothermal_1,NH3,0.0,2030
31,Asian,BASN_geothermal_1,NOx,0.0,2030
32,Asian,BASN_geothermal_1,PM2_5,0.0,2030
33,Asian,BASN_geothermal_1,SOx,0.0,2030
34,Asian,BASN_geothermal_1,VOC,0.0,2030
35,Asian,BASN_natural_gas_fired_combined_cycle_1,NH3,2.4666162692071608e-11,2030
36,Asian,BASN_natural_gas_fired_combined_cycle_1,NOx,3.410590245862951e-12,2030
37,Asian,BASN_natural_gas_fired_combined_cycle_1,PM2_5,1.2158239513604097e-10,2030
38,Asian,BASN_natural_gas_fired_combined_cycle_1,SOx,3.16908388249507e-13,2030
39,Asian,BASN_natural_gas_fired_combined_cycle_1,VOC,3.124693139032323e-12,2030
40,Asian,BASN_natural_gas_fired_combined_cycle_2,NH3,1.0526048092131405e-11,2030
41,Asian,BASN_natural_gas_fired_combined_cycle_2,NOx,1.6359223443181807e-12,2030
42,Asian,BASN_natural_gas_fired_combined_cycle_2,PM2_5,2.8596194782786757e-11,2030
