,Race,Cluster,Pollutant,Exposure,year
66,Asian,BASN_small_hydroelectric_1,NOx,0.0,2050
67,Asian,BASN_small_hydroelectric_1,PM2_5,0.0,2050
68,Asian,BASN_small_hydroelectric_1,SOx,0.0,2050
69,Asian,BASN_small_hydroelectric_1,VOC,0.0,2050
70,Asian,BASN_solar_photovoltaic_1,NH3,0.0,2050
71,Asian,BASN_solar_photovoltaic_1,NOx,0.0,2050
72,Asian,BASN_solar_photovoltaic_1,PM2_5,0.0,2050
73,Asian,BASN_solar_photovoltaic_1,SOx,0.0,2050
74,Asian,BASN_solar_photovoltaic_1,VOC,0.0,2050
75,Asian,CANO_biomass_1,NH3,3.3206913975271753e-10,2050
76,Asian,CANO_biomass_1,NOx,1.762977011425753e-10,2050
77,Asian,CANO_biomass_1,PM2_5,3.6320659562649544e-10,2050
78,Asian,CANO_biomass_1,SOx,1.6986373479672807e-11,2050
79,Asian,CANO_biomass_1,VOC,2.813194731288103e-12,2050
80,Asian,CANO_biomass_2,NH3,1.6799447323238787e-11,2050
81,Asian,CANO_biomass_2,NOx,2.7185236370499155e-11,2050
82,Asian,CANO_biomass_2,PM2_5,1.749172896039134e-11,2050
83,Asian,CANO_biomass_2,SOx,3.076438786448173e-12,2050
84,Asian,CANO_biomass_2,VOC,2.1748862607833078e-13,2050
85,Asian,CANO_conventional_hydroelectric_1,NH3,0.0,2050
86,Asian,CANO_conventional_hydroelectric_1,NOx,0.0,2050
87,Asian,CANO_conventional_hydroelectric_1,PM2_5,0.0,2050
88,Asian,CANO_conventional_hydroelectric_1,SOx,0.0,2050
89,Asian,CANO_conventional_hydroelectric_1,VOC,0.0,2050
90,Asian,CANO_hydroelectric_pumped_storage_1,NH3,0.0,2050
91,Asian,CANO_hydroelectric_pumped_storage_1,NOx,0.0,2050
92,Asian,CANO_hydroelectric_pumped_storage_1,PM2_5,0.0,2050
93,Asian,CANO_hydroelectric_pumped_storage_1,SOx,0.0,2050
94,Asian,CANO_hydroelectric_pumped_storage_1,VOC,0.0,2050
95,Asian,CANO_natural_gas_fired_combined_cycle_1,NH3,1.0349962302338697e-10,2050
96,Asian,CANO_natural_gas_fired_combined_cycle_1,NOx,3.004877936101819e-11,2050
97,Asian,CANO_natural_gas_fired_combined_cycle_1,PM2_5,3.545184306273714e-10,2050
98,Asian,CANO_natural_gas_fired_combined_cycle_1,SOx,2.0038591610376806e-12,2050
99,Asian,CANO_natural_gas_fired_combined_cycle_1,VOC,3.229161679622399e-12,2050
100,Asian,CANO_natural_gas_fired_combined_cycle_2,NH3,2.7397083526863292e-11,2050
101,Asian,CANO_natural_gas_fired_combined_cycle_2,NOx,7.1294779335310736e-12,2050
102,Asian,CANO_natural_gas_fired_combined_cycle_2,PM2_5,9.670041357185136e-11,2050
103,Asian,CANO_natural_gas_fired_combined_cycle_2,SOx,1.478326469295833e-12,2050
104,Asian,CANO_natural_gas_fired_combined_cycle_2,VOC,8.537120268248334e-13,2050
105,Asian,CANO_natural_gas_fired_combustion_turbine_1,NH3,1.2553795681991032e-11,2050
106,Asian,CANO_natural_gas_fired_combustion_turbine_1,NOx,8.594773870256584e-12,2050
107,Asian,CANO_natural_gas_fired_combustion_turbine_1,PM2_5,5.205461059131683e-11,2050
108,Asian,CANO_natural_gas_fired_combustion_turbine_1,SOx,9.411373285379182e-13,2050
109,Asian,CANO_natural_gas_fired_combustion_turbine_1,VOC,5.677206226428601e-13,2050
110,Asian,CANO_natural_gas_fired_combustion_turbine_2,NH3,7.645974125445651e-11,2050
111,Asian,CANO_natural_gas_fired_combustion_turbine_2,NOx,2.949724858315662e-11,2050
112,Asian,CANO_natural_gas_fired_combustion_turbine_2,PM2_5,8.04025113826959e-11,2050
113,Asian,CANO_natural_gas_fired_combustion_turbine_2,SOx,1.0883775637385154e-12,2050
114,Asian,CANO_natural_gas_fired_combustion_turbine_2,VOC,7.100009512743521e-13,2050
115,Asian,CANO_natural_gas_internal_combustion_engine_1,NH3,0.0,2050
116,Asian,CANO_natural_gas_internal_combustion_engine_1,NOx,3.310785402077709e-10,2050
117,Asian,CANO_natural_gas_internal_combustion_engine_1,PM2_5,1.847217823409436e-09,2050
118,Asian,CANO_natural_gas_internal_combustion_engine_1,SOx,1.2751055421741673e-11,2050
119,Asian,CANO_natural_gas_internal_combustion_engine_1,VOC,2.4964786847305798e-11,2050
120,Asian,CANO_natural_gas_steam_turbine_1,NH3,1.0347087155518236e-10,2050
121,Asian,CANO_natural_gas_steam_turbine_1,NOx,3.4363273977506145e-10,2050
122,Asian,CANO_natural_gas_steam_turbine_1,PM2_5,1.3315750698158237e-09,2050
123,Asian,CANO_natural_gas_steam_turbine_1,SOx,9.774381718900765e-12,2050
124,Asian,CANO_natural_gas_steam_turbine_1,VOC,4.6578125832374854e-11,2050
125,Asian,CANO_naturalgas_ccavgcf_moderate_0,NH3,2.397040103386515e-11,2050
126,Asian,CANO_naturalgas_ccavgcf_moderate_0,NOx,1.4411529747071745e-11,2050
127,Asian,CANO_naturalgas_ccavgcf_moderate_0,PM2_5,1.2506052473906468e-10,2050
128,Asian,CANO_naturalgas_ccavgcf_moderate_0,SOx,1.1667074318987648e-12,2050
129,Asian,CANO_naturalgas_ccavgcf_moderate_0,VOC,1.4105025550255144e-12,2050
130,Asian,CANO_naturalgas_ccccsavgcf_conservative_0,NH3,2.6985546402881044e-11,2050
131,Asian,CANO_naturalgas_ccccsavgcf_conservative_0,NOx,1.6224300721149397e-11,2050
132,Asian,CANO_naturalgas_ccccsavgcf_conservative_0,PM2_5,1.4079140824561598e-10,2050
133,Asian,CANO_naturalgas_ccccsavgcf_conservative_0,SOx,1.3134630841584382e-12,2050
134,Asian,CANO_naturalgas_ccccsavgcf_conservative_0,VOC,1.5879242597161255e-12,2050
135,Asian,CANO_naturalgas_ctavgcf_moderate_0,NH3,4.0396630103305324e-11,2050
136,Asian,CANO_naturalgas_ctavgcf_moderate_0,NOx,3.8059929252896585e-11,2050
137,Asian,CANO_naturalgas_ctavgcf_moderate_0,PM2_5,7.621736473178783e-11,2050
138,Asian,CANO_naturalgas_ctavgcf_moderate_0,SOx,8.630197047410325e-13,2050
139,Asian,CANO_naturalgas_ctavgcf_moderate_0,VOC,1.53774109828602e-12,2050
140,Asian,CANO_petroleum_liquids_1,NH3,6.723255129425656e-10,2050
141,Asian,CANO_petroleum_liquids_1,NOx,2.0700522682151553e-10,2050
142,Asian,CANO_petroleum_liquids_1,PM2_5,6.38832586075223e-09,2050
143,Asian,CANO_petroleum_liquids_1,SOx,9.862956698662545e-12,2050
144,Asian,CANO_petroleum_liquids_1,VOC,3.2262904657201184e-11,2050
145,Asian,CANO_small_hydroelectric_1,NH3,0.0,2050
146,Asian,CANO_small_hydroelectric_1,NOx,0.0,2050
147,Asian,CANO_small_hydroelectric_1,PM2_5,0.0,2050
148,Asian,CANO_small_hydroelectric_1,SOx,0.0,2050
149,Asian,CANO_small_hydroelectric_1,VOC,0.0,2050
150,Asian,CANO_solar_photovoltaic_1,NH3,0.0,2050
151,Asian,CANO_solar_photovoltaic_1,NOx,0.0,2050
152,Asian,CANO_solar_photovoltaic_1,PM2_5,0.0,2050
153,Asian,CANO_solar_photovoltaic_1,SOx,0.0,2050
154,Asian,CANO_solar_photovoltaic_1,VOC,0.0,2050
155,Asian,CASO_biomass_1,NH3,1.1004734736631478e-09,2050
156,Asian,CASO_biomass_1,NOx,4.375071333887407e-10,2050
157,Asian,CASO_biomass_1,PM2_5,9.208524327117326e-10,2050
158,Asian,CASO_biomass_1,SOx,7.924856378936873e-11,2050
159,Asian,CASO_biomass_1,VOC,6.940578149427687e-12,2050
160,Asian,CASO_biomass_2,NH3,2.538996466644246e-10,2050
161,Asian,CASO_biomass_2,NOx,1.4156079626195106e-10,2050
162,Asian,CASO_biomass_2,PM2_5,1.881518078331095e-10,2050
163,Asian,CASO_biomass_2,SOx,3.608353529387743e-11,2050
164,Asian,CASO_biomass_2,VOC,1.8324860199606624e-12,2050
165,Asian,CASO_conventional_hydroelectric_1,NH3,0.0,2050
166,Asian,CASO_conventional_hydroelectric_1,NOx,0.0,2050
167,Asian,CASO_conventional_hydroelectric_1,PM2_5,0.0,2050
168,Asian,CASO_conventional_hydroelectric_1,SOx,0.0,2050
