,Race,Cluster,Pollutant,Exposure,year
0,Asian,BASN_biomass_1,NH3,7.200181629386614e-12,2040
1,Asian,BASN_biomass_1,NOx,1.3667142995468918e-11,2040
2,Asian,BASN_biomass_1,PM2_5,2.7737506565144203e-11,2040
3,Asian,BASN_biomass_1,SOx,1.925274806326576e-11,2040
4,Asian,BASN_biomass_1,VOC,3.505532125537597e-13,2040
5,Asian,BASN_biomass_2,NH3,1.33666200235723e-11,2040
6,Asian,BASN_biomass_2,NOx,1.731468119631955e-11,2040
7,Asian,BASN_biomass_2,PM2_5,5.410405193638529e-11,2040
8,Asian,BASN_biomass_2,SOx,4.152240050256889e-11,2040
9,Asian,BASN_biomass_2,VOC,6.581003026890042e-13,2040
10,Asian,BASN_conventional_hydroelectric_1,NH3,0.0,2040
11,Asian,BASN_conventional_hydroelectric_1,NOx,0.0,2040
12,Asian,BASN_conventional_hydroelectric_1,PM2_5,0.0,2040
13,Asian,BASN_conventional_hydroelectric_1,SOx,0.0,2040
14,Asian,BASN_conventional_hydroelectric_1,VOC,0.0,2040
15,Asian,BASN_conventional_steam_coal_1,NH3,3.173162051219637e-14,2040
16,Asian,BASN_conventional_steam_coal_1,NOx,2.5428121406751152e-11,2040
17,Asian,BASN_conventional_steam_coal_1,PM2_5,3.0986944146995578e-12,2040
18,Asian,BASN_conventional_steam_coal_1,SOx,4.8639711489816254e-11,2040
19,Asian,BASN_conventional_steam_coal_1,VOC,1.270631473574891e-13,2040
20,Asian,BASN_conventional_steam_coal_2,NH3,1.2914744352405345e-13,2040
21,Asian,BASN_conventional_steam_coal_2,NOx,2.9066379490258607e-11,2040
22,Asian,BASN_conventional_steam_coal_2,PM2_5,5.386253447245754e-12,2040
23,Asian,BASN_conventional_steam_coal_2,SOx,1.5419911001149672e-11,2040
24,Asian,BASN_conventional_steam_coal_2,VOC,6.33278571817845e-14,2040
25,Asian,BASN_geothermal_1,NH3,0.0,2040
26,Asian,BASN_geothermal_1,NOx,0.0,2040
27,Asian,BASN_geothermal_1,PM2_5,0.0,2040
28,Asian,BASN_geothermal_1,SOx,0.0,2040
29,Asian,BASN_geothermal_1,VOC,0.0,2040
30,Asian,BASN_natural_gas_fired_combined_cycle_1,NH3,2.7548540422333646e-11,2040
31,Asian,BASN_natural_gas_fired_combined_cycle_1,NOx,3.600123642856675e-12,2040
32,Asian,BASN_natural_gas_fired_combined_cycle_1,PM2_5,1.3905148492478423e-10,2040
33,Asian,BASN_natural_gas_fired_combined_cycle_1,SOx,3.427782537690422e-13,2040
34,Asian,BASN_natural_gas_fired_combined_cycle_1,VOC,4.2176468461530105e-12,2040
35,Asian,BASN_natural_gas_fired_combined_cycle_2,NH3,1.0514998992035488e-11,2040
